timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1612006793185,1103,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,1041121,124,400,400,https://www.zalando.at/herren-home/,171,0,62
1612006793186,1274,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-185,text,true,,1002748,124,400,400,https://www.zalando.at/herren-home/,174,0,78
1612006793750,864,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-190,text,true,,979709,124,400,400,https://www.zalando.at/herren-home/,267,0,168
1612006793565,1374,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-122,text,true,,979032,124,400,400,https://www.zalando.at/herren-home/,113,0,56
1612006794194,1053,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-193,text,true,,1069579,124,400,400,https://www.zalando.at/herren-home/,217,0,114
1612006794889,388,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-177,text,true,,419608,127,400,400,https://www.zalando.at/herren/?q=jeans,213,0,0
1612006794194,1212,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-127,text,true,,978445,124,400,400,https://www.zalando.at/herren-home/,211,0,102
1612006794617,872,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-197,text,true,,979212,124,400,400,https://www.zalando.at/herren-home/,112,0,57
1612006795249,307,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-121,text,true,,419594,127,400,400,https://www.zalando.at/herren/?q=jeans,239,0,0
1612006794890,932,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-199,text,true,,1010141,124,400,400,https://www.zalando.at/herren-home/,325,0,110
1612006795251,717,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-17,text,true,,1004429,124,400,400,https://www.zalando.at/herren-home/,164,0,85
1612006795825,729,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-202,text,true,,977327,124,400,400,https://www.zalando.at/herren-home/,144,0,66
1612006796296,370,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,422595,127,400,400,https://www.zalando.at/herren/?q=jeans,228,0,0
1612006796467,459,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-185,text,true,,419570,127,400,400,https://www.zalando.at/herren/?q=jeans,227,0,0
1612006796624,341,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-190,text,true,,419608,127,400,400,https://www.zalando.at/herren/?q=jeans,206,0,0
1612006795971,1019,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-204,text,true,,1058234,124,400,400,https://www.zalando.at/herren-home/,108,0,50
1612006796469,925,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-209,text,true,,975643,124,400,400,https://www.zalando.at/herren-home/,172,0,121
1612006796298,1316,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-206,text,true,,938733,124,400,400,https://www.zalando.at/herren-home/,132,0,60
1612006797264,475,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-193,text,true,,422595,127,400,400,https://www.zalando.at/herren/?q=jeans,265,0,0
1612006796298,1538,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-207,text,true,,1023910,124,400,400,https://www.zalando.at/herren-home/,124,0,56
1612006797499,360,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-197,text,true,,419582,127,400,400,https://www.zalando.at/herren/?q=jeans,239,0,0
